License_Fiscal_Year_License_Num,Business_Name,Street_Address,City,State,Zip,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Status,License_Status_Description,Council_District_Code,Council_District_Description,Location_1,FID
,SUPERMERCADO GUERITO,454 S CARLISLE ST,SOUTH BEND,IN,46619,(574) 234-7170,RESTZ,RESTAURANTS N-Z,2012-03-31T04:00:00.000Z,2011-09-26T04:00:00.000Z,2011,RN,Renewed,SB6,COUNCIL DISTRICT 6,"454 S CARLISLE ST
SOUTH BEND, IN 46619
(41.670395, -86.281119)",1001
,ABC CAB (DON'T USE),1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-4000,TAXICAB,TAXI VEHICLE,2012-06-01T04:00:00.000Z,2011-07-21T04:00:00.000Z,2011,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1002
,"STEUER, JAMES H",134 E CALVERT ST,SOUTH BEND,IN,46613,(574) 387-4211,TAXID,TAXI DRIVER,2012-06-01T04:00:00.000Z,2011-07-21T04:00:00.000Z,2011,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"134 E CALVERT ST
SOUTH BEND, IN 46613
(41.654332, -86.248078)",1003
,621 NAPOLEON ST,621 NAPOLEON ST,SOUTH BEND,IN,46617,(574) 232-9396,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-11-23T05:00:00.000Z,2014-08-29T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"621 NAPOLEON ST
SOUTH BEND, IN 46617
(41.691174, -86.241362)",1004
,1901 DORWOOD DR.,1901 DORWOOD DR,SOUTH BEND,IN,46617,(574) 287-1675,LPARKU,LAWN PARK UNDER 10 SPACES,2014-11-23T05:00:00.000Z,2014-08-29T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1901 DORWOOD DR
SOUTH BEND, IN 46617
(41.689453, -86.221431)",1005
,CALVERT STREET AUTO - DO NOT U,1510 E CALVERT ST,SOUTH BEND,IN,46613,(574) 217-6601,AUTO,AUTOMOTIVE REPAIR & SVC,2012-01-31T05:00:00.000Z,2011-09-30T04:00:00.000Z,2011,IN,Incative and no longer licensed,SB5,COUNCIL DISTRICT 5,"1510 E CALVERT ST
SOUTH BEND, IN 46613
(41.654823, -86.225274)",1006
,817 HOWARD ST,817 HOWARD ST,SOUTH BEND,IN,46617,(574) 232-8500,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-11-23T05:00:00.000Z,2014-08-28T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"817 HOWARD ST
SOUTH BEND, IN 46617
(41.688449, -86.238704)",1007
,"DANIEL, SHREDIA F",1109 WILBER ST,SOUTH BEND,IN,46628,(574) 210-1708,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-25T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1109 WILBER ST
SOUTH BEND, IN 46628
(41.689614, -86.27401)",1008
,ACE CAB,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 674-0336,TAXICO,TAXI COMPANY,2006-06-01T04:00:00.000Z,2005-05-30T04:00:00.000Z,2005,TR,Transferred,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1009
,"MAHAMAT, ABDELKADRE A",808 S 26TH ST,SOUTH BEND,IN,46615,(574) 855-2122,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-25T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"808 S 26TH ST
SOUTH BEND, IN 46615
(41.667178, -86.210434)",1010
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2007-06-01T04:00:00.000Z,2006-05-18T04:00:00.000Z,2006,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1011
,"SEMUHUNGU, FAUSTIN",1 OUT OF AREA AVE,SOUTH BEND,IN,46601,(574) 323-7839,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-26T04:00:00.000Z,2014,AC,Active and Licensed,,,"1 OUT OF AREA AVE
SOUTH BEND, IN 46601
",1012
,"VAVUL, STEPHEN W",1822 THORNHILL DR,SOUTH BEND,IN,46614,(574) 339-0225,TAXID,TAXI DRIVER,2007-06-01T04:00:00.000Z,2006-06-01T04:00:00.000Z,2006,AC,Active and Licensed,SB5,COUNCIL DISTRICT 5,"1822 THORNHILL DR
SOUTH BEND, IN 46614
(41.624611, -86.221617)",1013
,"OUTLAW JR, MELVIN L",1738 S TWYCKENHAM DR,SOUTH BEND,IN,46613,(574) 383-6037,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-26T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1738 S TWYCKENHAM DR
SOUTH BEND, IN 46613
(41.656342, -86.225535)",1014
,AMPCO SYSTEM PARKING - DONT US,225 S MAIN ST,SOUTH BEND,IN,46601,(574) 232-3843,PARK,PUBLIC PARKING FACILITY,2009-01-31T05:00:00.000Z,2008-04-15T04:00:00.000Z,2008,RN,Renewed,SB2,COUNCIL DISTRICT 2,"225 S MAIN ST
SOUTH BEND, IN 46601
(41.67416, -86.251948)",1015
,"WHITE, DANIEL R",2413 PRAIRIE AVE,SOUTH BEND,IN,46614,(574) 383-4075,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-26T04:00:00.000Z,2014,AC,Active and Licensed,SB6,COUNCIL DISTRICT 6,"2413 PRAIRIE AVE
SOUTH BEND, IN 46614
(41.649063, -86.283528)",1016
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-18T04:00:00.000Z,2009,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1017
,"LEICHTMAN, MICDANIEO V",2905 EDISON RD,SOUTH BEND,IN,46615,(574) 383-4800,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-26T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"2905 EDISON RD
SOUTH BEND, IN 46615
(41.694597, -86.20745)",1018
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-18T04:00:00.000Z,2009,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1019
