GOL,NOL,BNL,BBH,XCB,XFB,ZYB,AUB,WCB,ASB,BPL,NPH
189,185,100,135,143,120,133,119,70,112,96,66
182,178,102,139,145,120,137,125,66,113,108,64
191,187,102,123,140,114,134,125,74,112,102,67
191,188,100,127,141,123,135,127,71,113,95,76
178,177,97,128,138,117,129,121,69,111,90,67
194,191,106,132,139,118,136,128,76,112,102,69
186,183,95,122,143,122,128,119,71,108,95,66
186,184,103,130,141,121,128,121,72,109,100,64
186,182,96,134,141,123,135,123,71,111,87,72
189,189,101,131,144,115,130,125,63,108,95,63
186,183,107,138,143,116,136,129,71,113,96,70
182,182,99,124,136,113,125,120,69,111,98,69
193,191,101,134,142,118,132,125,71,115,96,70
195,194,105,127,137,110,135,125,70,112,98,73
187,183,103,131,141,117,133,125,72,111,96,67
189,187,97,129,144,129,136,121,71,109,95,64
179,174,101,132,147,121,139,129,74,110,98,65
175,174,100,132,135,113,128,114,65,107,93,65
191,189,109,128,135,110,139,127,73,114,114,76
192,191,100,127,142,115,134,126,72,114,97,72
194,192,104,139,145,122,137,125,74,112,96,67
195,191,100,128,137,109,137,125,71,116,102,69
184,182,102,137,142,120,134,122,69,112,96,68
186,185,109,133,137,117,138,125,77,108,109,64
195,193,102,141,147,127,136,131,71,116,92,74
189,187,102,134,139,118,136,122,72,107,95,67
188,185,101,133,134,116,129,121,72,106,94,68
182,180,104,123,131,108,130,119,69,107,102,62
188,185,100,133,141,114,135,123,67,109,97,67
186,183,104,134,138,125,140,125,76,108,103,69
186,184,96,134,145,128,137,126,67,112,91,72
201,198,107,133,147,121,139,132,77,111,102,70
189,186,97,140,152,122,138,131,73,111,91,69
192,187,99,126,144,117,137,128,69,119,94,69
190,186,106,139,147,125,134,126,70,117,101,69
189,187,104,139,143,124,137,127,75,115,99,70
181,180,98,136,138,121,134,125,67,111,93,66
194,192,105,123,145,123,137,129,74,116,98,75
187,185,98,126,139,120,140,118,73,109,94,75
187,184,105,128,146,117,137,127,72,115,103,73
192,190,102,131,143,115,133,123,73,107,97,65
179,178,103,131,136,110,135,125,69,108,98,67
188,184,105,122,134,108,124,115,66,109,101,67
179,178,101,131,139,118,133,121,70,112,91,66
190,189,99,126,150,135,135,127,77,114,92,71
190,189,101,131,143,114,134,124,72,113,89,70
195,193,101,136,151,126,139,130,71,123,95,70
200,198,112,140,145,127,142,127,75,113,106,74
190,190,101,133,138,118,134,127,71,108,95,70
187,186,98,128,142,121,132,123,77,113,92,71
190,189,99,131,137,123,129,122,74,109,97,70
188,187,98,130,146,121,133,126,70,113,91,69
193,189,104,139,145,121,131,122,69,116,98,70
192,191,102,137,150,124,137,130,73,113,92,71
189,185,106,137,150,122,139,134,75,121,96,72
186,184,100,133,146,118,134,125,73,120,90,69
186,181,102,138,137,115,132,122,75,107,96,67
186,183,104,132,147,126,136,129,78,115,97,72
181,178,92,127,142,121,134,124,79,114,94,75
178,177,97,133,142,122,129,123,75,105,91,68
180,178,105,129,135,117,127,116,66,110,96,60
183,177,97,138,139,117,130,123,72,110,90,69
178,176,98,127,134,112,127,119,74,108,96,67
184,182,97,141,142,123,127,122,74,110,85,73
192,188,103,127,143,120,132,125,78,112,102,64
190,186,99,142,139,123,139,125,75,114,102,70
194,191,107,138,144,118,136,125,79,117,103,66
181,179,98,137,145,118,133,124,68,111,99,76
180,178,103,139,141,116,134,126,73,113,100,68
175,174,103,132,138,114,132,123,76,107,93,67
176,174,94,125,138,121,125,120,69,103,97,60
192,189,109,140,133,110,133,117,71,104,101,65
181,178,103,135,142,126,136,124,72,111,99,72
187,184,106,138,143,121,136,129,70,111,101,79
181,177,99,138,138,124,131,119,77,109,94,67
179,178,102,133,141,120,132,123,73,107,102,68
192,190,107,142,146,122,134,128,76,115,104,76
188,186,109,139,137,121,137,124,74,107,100,74
196,194,107,139,144,116,137,129,76,112,107,67
185,182,98,133,141,123,134,124,76,109,94,70
195,192,109,132,149,129,138,133,80,120,106,67
189,187,100,135,144,112,130,117,72,108,98,71
189,185,97,128,140,116,130,124,75,116,99,68
188,185,97,129,142,118,137,125,74,114,94,66
188,185,106,140,142,116,137,121,70,110,94,65
193,190,105,144,149,125,134,126,76,113,101,70
191,187,105,142,136,119,134,123,71,110,102,73
187,183,101,133,146,123,133,126,80,109,87,67
188,186,101,138,140,129,123,113,74,116,101,67
183,181,99,133,135,116,129,117,73,104,92,64
182,178,101,135,143,124,133,124,72,113,95,67
178,174,100,133,137,116,132,122,73,111,98,61
187,184,109,141,136,113,134,120,72,110,102,67
185,182,104,138,138,110,134,121,70,109,98,68
181,176,93,132,143,120,130,120,76,107,98,68
171,169,98,132,140,117,130,121,70,109,89,63
189,186,93,133,147,113,134,129,72,113,88,68
191,188,103,139,139,114,138,126,72,112,98,63
185,183,98,139,139,123,127,119,73,107,89,64
179,177,100,133,145,124,132,126,75,109,95,72
193,191,106,141,146,126,136,128,73,114,102,74
179,177,102,137,145,122,136,128,78,112,99,69
